filename,Q1,Q3,RT
TG 49:1 [-18:1],836.8,537.5,7.05
TG 49:1 [-16:0],836.8,563.5,7.066666667
TG 49:1 [-15:0],836.8,577.5,7.066666667
TG 49:1 [SIM],836.8,836.8,7.066666667
TG 50:4 [SIM],844.7,844.7,6.75
TG 50:4 [-14:0],844.8,599.5,6.733333333
TG 50:3 [-18:1],846.8,547.5,6.85
TG 50:3 [-16:1],846.8,575.6,6.85
TG 50:3 [-14:1],846.8,603.6,6.866666667
TG 50:3 [SIM],846.8,846.8,6.866666667
TG 50:2 [-18:0],848.8,547.5,7
TG 50:2 [-18:1],848.8,549.5,6.983333333
TG 50:2 [-18:2],848.8,551.5,7
TG 50:2 [SIM],848.8,848.8,7
TG 50:1 [-18:1],850.8,551.5,7.116666667
TG 50:1 [-14:0],850.8,605.6,7.116666667
TG 50:1 [SIM],850.8,850.8,7.116666667
TG 50:0 [-18:0],852.8,551.5,7.233333333
TG 50:0 [SIM],852.8,852.8,7.233333333
TG 51:2 [-18:1],862.8,563.5,7.05
TG 51:2 [-16:0],862.8,589.6,7.05
TG 51:2 [-15:0],862.8,603.6,7.05
TG 51:2 [SIM],862.8,862.8,7.05
TG 51:1 [-18:1],864.8,565.5,7.183333333
TG 51:1 [SIM],864.8,864.8,7.183333333
TG 51:0 (ISTD) [-17:0],866.8,579.5,7.3
TG 51:0 [-16:0],866.8,593.6,7.3
TG 52:4 [-18:1],872.8,573.6,6.9
TG 52:4 [-16:0],872.8,599.6,6.9
TG 52:4 [SIM],872.8,872.8,6.9
TG 52:3 [-18:2],874.8,577.6,7.016666667
TG 52:3 [-16:1],874.8,603.6,7
TG 52:3 [SIM],874.8,874.8,7.016666667
TG 52:2 [-16:0],876.8,603.6,7.133333333
TG 52:2 [SIM],876.8,876.8,7.133333333
TG 52:1 [-18:0],878.8,577.5,7.25
TG 52:1 [SIM],878.8,878.8,7.25
TG 53:2 [-17:0],890.8,603.6,7.2
TG 53:2 [SIM],890.8,890.8,7.2
TG 54:6 [SIM],896.8,896.8,6.833333333
TG 54:6 [-18:2],896.9,599.6,6.783333333
TG 54:5 [SIM],898.8,898.8,6.916666667
TG 54:5 [-18:1],898.9,599.6,6.916666667
TG 54:4 [-18:0],900.8,599.5,7.05
TG 54:4 [SIM],900.8,900.8,7.033333333
TG 54:4 [-18:2],900.9,603.9,7.033333333
TG 54:3 [SIM],902.8,902.8,7.15
TG 54:3 [-18:1],902.9,603.6,7.15
TG 54:2 [-18:0],904.9,603.6,7.266666667
TG 54:2 [SIM],904.9,904.8,7.266666667
TG 54:1 [SIM],906.8,906.8,7.366666667
TG 54:1 [-18:1],906.9,607.6,7.366666667
TG 54:0 [-18:0],908.9,607.6,7.466666667
TG 54:0 [SIM],908.9,908.9,7.466666667
TG 56:8 [-20:4],920.9,599.6,6.733333333
TG 56:8 [SIM],920.9,920.9,6.8
TG 56:6 [SIM],924.8,924.8,6.966666667
TG 56:6 [-20:4],924.9,603.6,6.983333333
TG 58:8 [-22:6],948.9,603.7,6.933333333
TG 58:8 [SIM],948.9,948.9,6.933333333
