LIPID,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT
PE P-16:0/22:5,PE P-16:0/22:5,TRUE,750.5,364.3,4.85
PE P-16:0/22:6,PE P-16:0/22:6,TRUE,748.5,364.3,4.683333333
PE P-18:0/18:1,PE P-18:0/18:1,TRUE,730.5,392.3,5.383333333
PE P-18:0/18:2,PE P-18:0/18:2,TRUE,728.6,392.3,5.166666667
PE P-18:0/20:4,PE P-18:0/20:4,TRUE,752.6,392.3,5.116666667
PE P-18:0/22:5,PE P-18:0/22:5,TRUE,778.5,392.3,5.191666667
PE P-18:0/22:6,PE P-18:0/22:6,TRUE,776.6,392.3,5.05
PE P-20:0/20:4,PE P-20:0/20:4,TRUE,780.6,420.3,5.433333333
PE P-34:1,PE P-34:1,FALSE,702.5,561.5,5.066666667
PE P-36:1,PE P-36:1,FALSE,730.5,589.5,5.383333333
PE P-36:2,PE P-36:2,TRUE,728.6,587.5,5.166666667
PE P-36:4,PE P-36:4,TRUE,724.5,583.5,4.766666667
PE P-38:4,PE P-38:4,TRUE,752.6,611.5,5.116666667
PE P-40:4,PE P-40:4,TRUE,780.6,639.6,5.433333333
PE P-40:5,PE P-40:5,TRUE,778.5,637.5,5.1
PE P-40:6,PE P-40:6,TRUE,776.6,635.5,5.05
PG 33:1 d7 (ISTD),PG 33:1[D7],TRUE,759.1,570.1,4.2
PG 34:1,PG 34:1,TRUE,766.6,577.5,4.383333333
PG 36:1,PG 36:1,TRUE,794.6,605.6,4.716666667
PG 36:2,PG 36:2,TRUE,792.6,603.5,4.433333333
PI 32:0,PI 32:0,TRUE,828.6,551.6,4.216666667
PI 32:1,PI 32:1,TRUE,826.5,549.5,3.916666667
PI 33:1 d7 (ISTD),PI 33:1[D7],TRUE,847.2,570.1,4.083333333
PI 34:0,PI 34:0,TRUE,856.6,579.6,4.566666667
PI 34:1,PI 34:1,TRUE,854.6,577.6,4.283333333
PI 34:2,PI 34:2,TRUE,852.6,575.6,4.016666667
PI 36:1,PI 36:1,TRUE,882.6,605.6,4.633333333
PI 36:2,PI 36:2,TRUE,880.6,603.6,4.383333333
PI 36:3,PI 36:3,TRUE,878.6,601.6,4.133333333
PI 36:4,PI 36:4,TRUE,876.6,599.6,4
PI 38:2,PI 38:2,TRUE,908.6,631.6,4.683333333
PI 38:3,PI 38:3,TRUE,906.6,629.6,4.5
PI 38:4,PI 38:4,TRUE,904.6,627.6,4.35
PI 38:5,PI 38:5,TRUE,902.6,625.6,4.05
PI 38:6,PI 38:6,TRUE,900.6,623.6,3.916666667
PI 40:4,PI 40:4,TRUE,932.6,655.6,4.633333333
PI 40:5,PI 40:5,TRUE,930.6,653.6,4.5
PI 40:6,PI 40:6,TRUE,928.6,651.6,4.283333333
PS 33:1 d7 (ISTD),PS 33:1[D7],TRUE,755.1,570.1,4.133333333
PS 34:1,PS 34:1,TRUE,762.6,577.6,4.383333333
PS 34:2,PS 34:2,TRUE,760.6,575.6,4.1
PS 36:1,PS 36:1,TRUE,790.6,605.6,4.683333333
PS 36:2,PS 36:2,TRUE,788.5,603.5,4.433333333
PS 38:3,PS 38:3,TRUE,814.6,629.6,4.533333333
PS 38:4,PS 38:4,TRUE,812.5,627.5,4.416666667
PS 38:5,PS 38:5,TRUE,810.5,625.5,4.183333333
PS 40:5,PS 40:5,TRUE,838.6,653.6,4.583333333
PS 40:6,PS 40:6,TRUE,836.5,651.5,4.333333333
SM 30:1 (ISTD),SM 30:1,TRUE,647.5,184.1,3.516666667
SM 31:1,SM 31:1,TRUE,661.5,184.1,3.7
SM 32:0,SM 32:0,TRUE,677.6,184.1,4.066666667
SM 32:1,SM 32:1,TRUE,675.5,184.1,3.916666667
SM 32:2,SM 32:2,TRUE,673.5,184.1,3.583333333
SM 33:1,SM 33:1,TRUE,689.6,184.1,4.1
SM 34:0,SM 34:0,TRUE,705.6,184.1,4.433333333
SM 34:1,SM 34:1,TRUE,703.6,184.1,4.316666667
SM 34:2,SM 34:2,TRUE,701.6,184.1,4
